PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
1,9/2/18,1:07:19 PM,1,2,"Dotson, Josh",1000048798,Right,NOR_TAR,"Serretti, Danny",1000048796,Left,NOR_TAR2,Undefined,1,Top,0,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,84.58467148,1.671045396,-2.357368048,1862.54349,220.4874007,1:15,5.58208761,2.322481867,5.666667671,-23.53367359,15.83760849,11.954785,5.193159174,1.179590924,77.05260962,-2.718613279,-0.048926661,0.451607657,,,,,,,,,,,,-7.017100302,8.012635511,-2.131170809,50,5.708540252,4.517924717,-122.70286,2.861053465,-10.72025174,23.8081817,-19.93288539,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,a6a828f7-aed2-11e8-ae34-484d7efbbbf7
2,9/2/18,1:08:09 PM,1,3,"Dotson, Josh",1000048798,Right,NOR_TAR,"Serretti, Danny",1000048796,Left,NOR_TAR2,Undefined,1,Top,0,0,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,87.3676557,1.077971405,-2.81321707,2119.759899,238.3941487,2:00,5.372829166,1.795700647,6.288595004,-27.00443008,9.107806326,11.99920386,4.100548142,0.26237069,79.55617536,-4.056144219,-0.466590155,0.432512547,,,,,,,,,,,,-7.337897465,4.688372889,-1.594049707,50,5.43922964,5.718993652,-126.8374097,1.551539716,-11.94301777,26.16089163,-24.54334494,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,c25202a1-aed2-11e8-ae34-484d7efbbbf7
3,9/2/18,1:08:22 PM,1,4,"Dotson, Josh",1000048798,Right,NOR_TAR,"Serretti, Danny",1000048796,Left,NOR_TAR2,Undefined,1,Top,0,1,0,Undefined,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.36641176,-0.58672525,-4.0879457,2123.474846,227.0179152,1:30,5.367004318,1.74245972,6.151025935,-23.12514183,12.42191186,11.50805884,2.896566952,-1.024975351,80.56217547,-4.94711974,-1.850543118,0.429114632,,,,,,,,,,,,-7.385473929,6.927811061,-1.437299791,50,5.310454603,8.654560684,-128.1130572,-2.021680878,-12.27540152,26.44891959,-20.65932882,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,c87099ef-aed2-11e8-ae34-484d7efbbbf7
4,9/2/18,1:08:38 PM,1,5,"Dotson, Josh",1000048798,Right,NOR_TAR,"Serretti, Danny",1000048796,Left,NOR_TAR2,Undefined,1,Top,0,1,1,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,89.37092474,1.106860917,-3.288933119,2151.671842,232.2809811,1:45,5.383058296,1.842774447,6.228596205,-24.78486055,9.72946921,10.51377901,4.33040493,-0.266614602,81.57352592,-3.586479384,-1.24182708,0.422835304,,,,,,,,,,,,-6.612713532,5.013122594,-1.602191499,50,5.45343246,6.993742355,-129.7129233,1.726276383,-11.29481276,26.49204103,-23.61140922,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,d5b8d7d7-aed2-11e8-ae34-484d7efbbbf7
5,9/2/18,1:08:53 PM,1,6,"Dotson, Josh",1000048798,Right,NOR_TAR,"Serretti, Danny",1000048796,Left,NOR_TAR2,Undefined,1,Top,0,2,1,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,88.07663967,0.918636477,-3.988114818,2078.136304,223.2152828,1:30,5.334221963,1.762382642,6.318568261,-23.4544897,11.97592299,9.708506886,4.227040132,-1.059090828,80.45239541,-3.515193454,-2.097606758,0.428410024,,,,,,,,,,,,-6.367859621,6.309658119,-1.475051958,50,5.390187951,8.492450693,-127.7614963,1.358198352,-10.56349324,25.42712518,-21.70710442,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,dd207d65-aed2-11e8-ae34-484d7efbbbf7
6,9/2/18,1:09:10 PM,1,7,"Dotson, Josh",1000048798,Right,NOR_TAR,"Serretti, Danny",1000048796,Left,NOR_TAR2,Undefined,1,Top,0,3,1,Undefined,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,89.86573449,0.308431507,-4.031140371,2139.671093,236.3574561,2:00,5.336660335,1.632513356,5.966132248,-23.57419455,10.97294352,14.07009301,3.654327883,-0.870209511,81.95124103,-4.127887222,-1.30720967,0.423036223,,,,,,,,,,,,-8.68628401,5.850116551,-1.320790447,50,5.348008643,8.546446777,-130.3012787,-0.068689745,-14.96166003,26.90104686,-22.09753541,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,e6119302-aed2-11e8-ae34-484d7efbbbf7
7,9/2/18,1:09:52 PM,2,1,"Dotson, Josh",1000048798,Right,NOR_TAR,"Freeman, Ike",8899244,Right,NOR_TAR2,Undefined,1,Top,0,0,0,Undefined,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.37424221,3.740606958,-0.402095614,2389.548004,40.31473443,7:15,5.375589414,1.841187517,5.637877494,-68.75980852,-15.65340433,-15.52454986,2.961878947,0.089280697,66.7729929,-9.340144647,-3.425605212,0.524499365,,,,,,,,,,,,8.167602547,-9.528532639,-1.796868931,50,5.649463434,1.355325485,-106.3825739,4.672966898,9.224850066,20.70878707,-42.93599301,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,00f7e57d-aed3-11e8-ae34-484d7efbbbf7
8,9/2/18,1:10:17 PM,2,2,"Dotson, Josh",1000048798,Right,NOR_TAR,"Freeman, Ike",8899244,Right,NOR_TAR2,Undefined,1,Top,0,0,1,Undefined,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,87.96269951,-0.084556765,-2.701799787,2172.119486,237.8080697,2:00,5.443937891,1.936990873,5.852357311,-25.19336664,11.1014342,14.96321435,3.25921589,0.740139188,79.96096642,-4.828851349,0.196088622,0.433604447,,,,,,,,,,,,-8.824257237,6.012377054,-1.72676557,50,5.422414578,5.365398777,-127.6493996,-1.014616663,-14.50779803,27.15243645,-22.2892107,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,10c18ecf-aed3-11e8-ae34-484d7efbbbf7
9,9/2/18,1:10:51 PM,2,3,"Dotson, Josh",1000048798,Right,NOR_TAR,"Freeman, Ike",8899244,Right,NOR_TAR2,Undefined,1,Top,0,0,2,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,89.30286098,-0.859516823,-4.37176489,2189.603457,215.5333621,1:15,5.459860769,1.623887966,5.957771502,-21.22891635,13.95188631,8.751032206,2.899505967,-1.665471043,81.20372966,-4.841595657,-2.676494972,0.426898265,,,,,,,,,,,,-5.966463713,7.791692163,-1.281511041,50,5.379710515,9.494577198,-129.3400975,-2.602543515,-10.08436142,27.54123943,-19.00473359,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,23dc169e-aed3-11e8-ae34-484d7efbbbf7
10,9/2/18,1:11:13 PM,2,4,"Dotson, Josh",1000048798,Right,NOR_TAR,"Freeman, Ike",8899244,Right,NOR_TAR2,Undefined,1,Top,0,1,2,Undefined,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,74.94371975,2.741195869,-0.060570741,2512.635241,50.29434293,7:45,5.428431743,1.961286995,5.364425882,-61.00268194,-9.98519519,-14.76368418,2.796412883,0.608382699,68.56984468,-8.731209127,-2.89686269,0.514080403,39.34430155,5.038758194,47.47953572,1840.1678,,,,34.4283206,33.12391798,46.16420648,0.602079468,7.787303824,-6.068993318,-1.944514799,50,5.6299529,0.697366098,-108.7475836,3.133656601,9.262223976,20.27638861,-39.39251296,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,2d9a3bfc-aed3-11e8-ae34-484d7efbbbf7
